staff_index,staff_name,openalex_author_id_short,openalex_author_id_full,author_display_name,author_match_score,author_match_confidence,work_id,title,publication_year,publication_date,raw_author_name,author_position,is_corresponding,paper_confidence,paper_confidence_score,paper_confidence_reasons,paper_has_oxford_affiliation,paper_affiliation_score,paper_time_score,paper_name_score,doi,work_type,cited_by_count,language,is_oa,oa_status,oa_url,landing_page_url,pdf_url,source_id,source_name,source_type,source_is_oa,source_issn_l,volume,issue,first_page,last_page,institutions_distinct_count,countries_distinct_count,topics_json,primary_topic_json,snapshot_source
0,Melinda Mills,A5018053342,https://openalex.org/A5018053342,Melinda Mills,0.9,high,doi:10.1038/s41588-025-02452-3,Publisher Correction: Realizing the full potential of Our Future Health through data linkage and trans-biobank efforts,2025.0,2025-01-01,Melinda Mills,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,10.1038/s41588-025-02452-3,,0,,,,,https://www.doi.org/10.1038/s41588-025-02452-3,,,Nature Genetics,,,,,,,,1,1,[],{},staff_recent_publications_json
0,Melinda Mills,A5018053342,https://openalex.org/A5018053342,Melinda Mills,0.9,high,doi:10.1038/s41588-025-02327-7,Realizing the full potential of Our Future Health through data linkage and trans-biobank efforts,2025.0,2025-01-01,Melinda Mills,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,10.1038/s41588-025-02327-7,,0,,,,,https://www.doi.org/10.1038/s41588-025-02327-7,,,Nature Genetics,,,,,,,,1,1,[],{},staff_recent_publications_json
0,Melinda Mills,A5018053342,https://openalex.org/A5018053342,Melinda Mills,0.9,high,doi:10.1016/j.socscimed.2025.118443,"Night Shift Work and Sleep Duration among Middle and Older Age Adults: The Role of Individual, Social, and Environmental Moderators",2025.0,2025-01-01,Melinda Mills,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,10.1016/j.socscimed.2025.118443,,0,,,,,https://www.doi.org/10.1016/j.socscimed.2025.118443,,,Social Science & Medicine,,,,,,,,1,1,[],{},staff_recent_publications_json
0,Melinda Mills,A5018053342,https://openalex.org/A5018053342,Melinda Mills,0.9,high,doi:10.7765/9781526177964.00016,Why they stay and why they go: The effect of role clarity and social relations on turnover and exclusion in Médecins sans Frontières Holland,2025.0,2025-01-01,Melinda Mills,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,10.7765/9781526177964.00016,,0,,,,,https://www.doi.org/10.7765/9781526177964.00016,,,in Hierarchies and Exclusion in Humanitarianism,,,,,,,,1,1,[],{},staff_recent_publications_json
0,Melinda Mills,A5018053342,https://openalex.org/A5018053342,Melinda Mills,0.9,high,doi:10.1038/s41562-025-02150-4,Socio-economic status is a social construct with heritable components and genetic consequences,2025.0,2025-01-01,Melinda Mills,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,10.1038/s41562-025-02150-4,,0,,,,,https://www.doi.org/10.1038/s41562-025-02150-4,,,Nature Human Behaviour,,,,,,,,1,1,[],{},staff_recent_publications_json
0,Melinda Mills,A5018053342,https://openalex.org/A5018053342,Melinda Mills,0.9,high,doi:10.1038/s43587-024-00800-2,"Author Correction: Genetics of female and male reproductive traits and their relationship with health, longevity and consequences for offspring.",2025.0,2025-01-01,Melinda Mills,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,10.1038/s43587-024-00800-2,,0,,,,,https://www.doi.org/10.1038/s43587-024-00800-2,,,Nature aging,,,,,,,,1,1,[],{},staff_recent_publications_json
0,Melinda Mills,A5018053342,https://openalex.org/A5018053342,Melinda Mills,0.9,high,doi:10.1038/s41562-024-02076-3,"Polygenic prediction of occupational status GWAS elucidates genetic and environmental interplay in intergenerational transmission, careers and health in UK Biobank",2024.0,2024-01-01,Melinda Mills,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,10.1038/s41562-024-02076-3,,0,,,,,https://www.doi.org/10.1038/s41562-024-02076-3,,,Nature Human Behaviour,,,,,,,,1,1,[],{},staff_recent_publications_json
0,Melinda Mills,A5018053342,https://openalex.org/A5018053342,Melinda Mills,0.9,high,doi:10.1038/s43587-024-00733-w,"Genetics of female and male reproductive traits and their relationship with health, longevity and consequences for offspring",2024.0,2024-01-01,Melinda Mills,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,10.1038/s43587-024-00733-w,,0,,,,,https://www.doi.org/10.1038/s43587-024-00733-w,,,Nature Aging,,,,,,,,1,1,[],{},staff_recent_publications_json
0,Melinda Mills,A5018053342,https://openalex.org/A5018053342,Melinda Mills,0.9,high,doi:10.1016/s2589-7500(24)00169-9,COVID-19 testing and reporting behaviours in England across different sociodemographic groups: a population-based study using testing data and data from community prevalence surveillance surveys,2024.0,2024-01-01,Melinda Mills,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,10.1016/s2589-7500(24)00169-9,,0,,,,,https://www.doi.org/10.1016/s2589-7500(24)00169-9,,,The Lancet Digital Health,,,,,,,,1,1,[],{},staff_recent_publications_json
0,Melinda Mills,A5018053342,https://openalex.org/A5018053342,Melinda Mills,0.9,high,doi:10.1038/s41586-024-07721-5,The importance of family-based sampling for biobanks,2024.0,2024-01-01,Melinda Mills,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,10.1038/s41586-024-07721-5,,0,,,,,https://www.doi.org/10.1038/s41586-024-07721-5,,,pp. 795–803,,,,,,,,1,1,[],{},staff_recent_publications_json
